淡白/あっさり,Plain/Nonpersisting
ブルマ,GymShorts
チャイナ,ChineseDress
ミニスカ,ShortSkirt
エプロン,Apron
ラバー,Rubber
レオタード,Leotard
白衣,Whitecoat
シスター,Nun
ワイシャツ,DressShirt
ウェイトレス,Waitress
バニーガール,BunnyGirl
スパッツ,Leggings
ニーソックス,KneeSocks
ストッキング,Stockings
ローレグ,Low-cutLegs
スクール水着,SchoolSwimsuit
水着,Swimsuit
スーツ,Suit
ガードル,Girdle
ガーター,Garter
半ズボン,Breeches
ブレザー,Blazer
男装,Cross-dressedWoman
女装,Crossdress
社長,President
医者,Doctor
アイドル,Idol
ラブコメ,FunnyLoveStory
耳かき,EarCleaning
屋外,Outdoor
ギャグ,Hilarious
憑依,Possession
石化,Petrifaction
家族,Family
コメディ,Comedy
時間停止,TimeStopping
ミリタリー,Military
SF,SciFi
スポーツ,Sports
格闘,Fight
ほのぼの,Heartwarming
同棲,Cohabitation
恋人同士,Lovers
遠距離恋愛,Long-distanceLove
初体験,FirstExperience
出会い,Encounter
サークル,Circle
色仕掛け,Coquettish
女体化,Feminization
性転換(TS),Transsexual
浮気,Cheating
三角関係,LoveTriangle
シリアス,Serious
ファンタジー,Fantasy
パラレル,Parallel
ホラー,Horror
キャットファイト,CatFight
スプラッター,Splatter
サスペンス,Suspense
ハードボイルド,Hard-boiled
バイオレンス,Violence
ギャンブル,Gambling
ヤキモチ,Jealousy
オカルト,Occult
歳の差,MayandDecember
魔法,Magic
芸能,Entertainment
同居,Roommate
純愛,PureLove
耽美,Shonen-ai
戦場,War
おもらし,Wetting
伝奇,MarvelTales
ティーンズラブ,TeensLove
ボーイズラブ,BoysLove
年下攻,YoungerMan(Dominant)
ハーレム,Harem
やおい,Yaoi
寝取られ,Netorare
百合,Yuri
ミステリー,Mystery
丸呑み,Vore
電車,Train
寝取り,Netori
歴史,History
手コキ,HandJob
足コキ,FootJob
ぶっかけ,Bukkake
顔射,Facial
中出し,InternalCumshot
パイズリ,BreastSex
母乳,BreastMilk
搾乳,Milking
出産,Childbirth
産卵,EggProduction
陵辱,Violation
オナニー,Masturbation
緊縛,TightBinding
フェラチオ,Blowjob
痴漢,Molestation
調教,SexualTraining
変態,Hentai
淫乱,Naughty
露出,OutdoorExposure
言葉責め,OralAssault
青姦,OutdoorSex
拘束,Restraint
奴隷,Slave
浣腸,Enema
羞恥,Ashamed
恥辱,Humiliation
監禁,Captivity
焦らし,Tease
くすぐり,Tickling
鬼畜,Pervert
ノーマルプレイ,VanillaSex
放置プレイ,NeglectPlay
無理矢理,Coercion
睡眠姦,SleepRape
輪姦,Gangbang
和姦,ConsensualSex
近親相姦,Incest
逆レイプ,WomanRapesMan
盗撮,Upskirt/SpyPhoto
男性受け,SubmissiveMan
催眠,Hypnosis
アナル,Anal
スカトロ,Scatology
尿道,Urethra
触手,Tentacle
獣姦,Bestiality
機械姦,RobotSex
拡張,Stretch/Expansion
下克上,Junior'sDomination
ソフトエッチ,SoftErotic
アヘ顔,Ahegao
モブ姦,NamelessSex
異種姦,InterspeciesSex
悪堕ち,CorruptedMorals
洗脳,Brainwashing
口内射精,OralCumshot
イラマチオ,ForcedOral
スパンキング,Spanking
バイ,Bisexual
レイプ,Rape
ショートカット,Shorthair
ロングヘア,LongHair
おかっぱ,BobbedHair
茶髪,BrownHair
金髪,BlondeHair
黒髪,BrunetHair
三つ編み,Braid
ポニーテール,Ponytail
ツインテール,TwinTail
ネコミミ,CatEars
獣耳,AnimalEars
長身,TallWoman
羽根,Wings
筋肉,Muscular
スレンダー,Slender
つるぺた,ChildlikeBuild
パイパン,Hairless
ふたなり,Futanari
巨根,LargeCock
童貞,Virgin/IntactMale
処女,VirginFemale
巨大化,Supersize
しっぽ,Tail
関西弁,KansaiDialect
ボクっ娘,Tomboy
無表情,Deadpan
包茎,Phimosis
むちむち,Chubby/Plump
太め,Chubby
デブ,Fat
爺,OldMan
腹パン,GutPunch
猟奇,Psychotic
人体改造,BodyModification
拷問,Torture
フィストファック,FistSex
ニプルファック,NippleSex
狂気,Madness
リョナ,Ryona/Brutal
蟲姦,WormSex
羞恥/恥辱,Insult
ASMR,Asmr
バイノーラル/ダミヘ,Binaural
SM,Sm
おねショタ,Oneeshota
マニアック/変態,Maniac
サキュバス/淫魔,Succubus
耳舐め,Ear Licking
ロボット/アンドロイド,Robot/Android
方言,Dialect
ムチムチ,Chubby
シリーズもの,Series
ささやき,Whispering
フタナリ,Futanari
料理/グルメ,Cooking
ツルペタ,Flatchested
潮吹き,Squirting
